Length,Num. Steps,SNR,LSD,Time Generation
93736,477,tensor(0.3721),tensor(2.3157),28.69190001487732
156586,387,tensor(0.3663),tensor(2.2146),38.63196682929993
152220,342,tensor(0.3675),tensor(2.1099),32.97383522987366
120634,455,tensor(0.3771),tensor(2.2056),35.01497220993042
79252,500,tensor(0.3609),tensor(2.3542),25.328256607055664
83422,313,tensor(0.3742),tensor(2.3978),16.571304082870483
143214,358,tensor(0.3654),tensor(1.9171),32.43638896942139
196320,436,tensor(0.3670),tensor(1.9618),54.722761154174805
83626,296,tensor(0.3553),tensor(2.1747),15.639750480651855
133676,389,tensor(0.3702),tensor(2.2060),33.29265069961548
158518,291,tensor(0.3665),tensor(1.9903),29.45841145515442
92892,497,tensor(0.3539),tensor(1.9591),29.61393666267395
75948,309,tensor(0.3731),tensor(2.2953),15.043888092041016
81490,215,tensor(0.3597),tensor(2.3161),11.202154874801636
108960,413,tensor(0.3698),tensor(2.3034),28.59447145462036
78912,422,tensor(0.3626),tensor(2.1089),21.29690670967102
88108,375,tensor(0.3653),tensor(2.2503),21.247266054153442
125100,480,tensor(0.3475),tensor(2.3320),37.99386024475098
136320,429,tensor(0.3631),tensor(1.9669),37.02684783935547
70658,325,tensor(0.3506),tensor(1.9792),14.855694055557251
135434,373,tensor(0.3669),tensor(1.9668),32.610063552856445
115680,215,tensor(0.3627),tensor(2.3487),15.85634469985962
92348,209,tensor(0.3737),tensor(2.2924),12.320345401763916
64758,265,tensor(0.3724),tensor(2.0473),11.095038175582886
69502,486,tensor(0.3683),tensor(2.1976),21.893339157104492
98386,322,tensor(0.3734),tensor(2.1029),20.541703462600708
145646,338,tensor(0.3605),tensor(2.0934),31.628939390182495
145206,391,tensor(0.3608),tensor(1.9113),36.20278978347778
114364,419,tensor(0.3591),tensor(1.9626),30.310287714004517
129860,225,tensor(0.3692),tensor(1.9691),18.63215732574463
112320,484,tensor(0.3624),tensor(1.9799),34.39577507972717
84192,463,tensor(0.3742),tensor(2.3095),24.82365918159485
144844,266,tensor(0.3797),tensor(1.8676),24.367876052856445
106832,487,tensor(0.3676),tensor(2.3972),33.11258316040039
175752,382,tensor(0.3623),tensor(1.8016),42.5164692401886
91418,395,tensor(0.3699),tensor(2.2601),23.21943759918213
156972,356,tensor(0.3657),tensor(1.8588),35.53355407714844
101054,275,tensor(0.3607),tensor(2.0052),17.75653600692749
187264,456,tensor(0.3611),tensor(2.0316),54.59049677848816
126138,326,tensor(0.3701),tensor(2.0202),26.16633129119873
183840,412,tensor(0.3639),tensor(1.9946),48.62981081008911
67870,398,tensor(0.3759),tensor(2.2674),17.490635633468628
133440,433,tensor(0.3596),tensor(1.9502),36.97451305389404
181542,437,tensor(0.3695),tensor(1.8875),50.982847690582275
256716,350,tensor(0.3684),tensor(1.9442),58.099854469299316
89568,370,tensor(0.3663),tensor(2.0770),21.154309034347534
99776,484,tensor(0.3574),tensor(1.9647),30.851040840148926
122438,449,tensor(0.3617),tensor(2.0299),34.95029354095459
130888,370,tensor(0.3663),tensor(1.9396),30.834594249725342
69564,497,tensor(0.3772),tensor(2.2705),22.15105414390564
